Codigo	Descripcion	Precio Costo	Precio Venta	Precio Mayoreo	Inventario	Inv. Minimo	Departamento
 7707310993017	PAN ABRIL HOJALDRADO DE LECHE X 100 G	$0	$1.800	$0	N/A	0.000	0
 7705326078261	PAN BIMBO ARTESANO BLANCO 500 G	$6.167	$7.000	$0	N/A	0.000	0
 7705326018687	PAN BLANCO TAJADO  MAMA INES 420 G	$4.333	$5.200	$0	N/A	0.000	0
 PANBLANDITO	PAN BLANDITO	$0	$2.500	$0	N/A	0.000	- Sin Departamento -
 7707310992331	PAN CHOCOLO ABRIL X6	$0	$4.800	$0	N/A	0.000	0
 7707310994076	PAN CON MAIZ ABRIL	$3.700	$4.500	$0	N/A	0.000	- Sin Departamento -
 7702084900124	PAN CONCHAS X250G	$0	$2.200	$0	N/A	0.000	0
 7707310992348	PAN DE ABRIL - HOJALDRADO DE LECHE X 6 UNID. 300G	$0	$6.600	$0	N/A	0.000	0
 7707310994069	PAN DE ABRIL - PAN CHINO X 4 UNID 250 GR	$0	$4.500	$0	N/A	0.000	0
 7707310991525	PAN DE ABRIL PASTEL DE AREQUIPE X 5 UNID. PRECIO UNID. 1700	$0	$0	$0	0,00	0.000	0
 7707201106960	PAN DE YUCA LA 96	$0	$4.400	$0	N/A	0.000	0
 7702084900117	PAN FIDEOS X200G	$0	$2.200	$0	N/A	0.000	0
 7702084900087	PAN GUST SPAGUETTI250G	$0	$2.300	$0	N/A	0.000	0
 7705326001757	PAN HAMBURGUESA BIMBO DORADO	$0	$7.000	$0	N/A	0.000	- Sin Departamento -
 7702084137551	PAN HARINA DULCE CHOCOLO X 500G	$0	$2.700	$0	N/A	0.000	0
 7702084127330	PAN HARINA MAIZ BLANCA 500G	$0	$2.400	$0	N/A	0.000	0
 8654736254767	PAN LECHE TRADICIONAL	$4.500	$5.500	$0	N/A	0.000	- Sin Departamento -
 PANLECHEX5	PAN LECHE X 5	$0	$4.500	$0	N/A	0.000	- Sin Departamento -
 7707310991150	PAN MANTEQUILLA ABRIL	$0	$6.700	$0	N/A	0.000	0
 7705326019301	PAN PERRO 6 UNIDADES	$0	$4.400	$0	N/A	0.000	- Sin Departamento -
 7702788202807	PAN QUESO JUANCHO PAN X50GR	$900	$1.200	$0	N/A	0.000	- Sin Departamento -
 7707310990665	PAN SUAVE PAN DE ABRIL 380 G	$0	$5.500	$0	N/A	0.000	0
 7705326019288	PAN SUPER HAMBUERGUESA CON AJ. 4 UNID 350 G	$5.083	$6.000	$0	N/A	0.000	0
 7705326019318	PAN SUPER PERRO AJONJOLI 6 UNID- 405 G	$5.083	$6.000	$0	N/A	0.000	0
 7702788158548	PAN SUVE CHOCOLATE X50 GR	$900	$1.200	$0	N/A	0.000	- Sin Departamento -
 7707310990634	PAN TAJADO ABRIL	$0	$5.800	$0	N/A	0.000	0
 7705326625502	PAN TAJADO BIMBO X 470 GR	$5.000	$6.000	$0	N/A	0.000	0
 7705326100597	PAN TAJADO DORADO BIMBO 460G	$0	$7.300	$0	N/A	0.000	- Sin Departamento -
